accession_number	toxo_nonsecreted_gene_name	lopit_prediction
TGGT1_264450		60S ribosome
TGGT1_264460	POLR3E	nucleus - non-chromatin
TGGT1_264610		nucleus - non-chromatin
TGGT1_264640		nucleus - chromatin
TGGT1_264650		cytosol
TGGT1_264820		nucleus - chromatin
TGGT1_264870		PM - integral
TGGT1_265000		nucleus - chromatin
TGGT1_265250		nucleus - chromatin
TGGT1_265330		nucleus - chromatin
TGGT1_265410		nucleus - non-chromatin
TGGT1_265450		cytosol
TGGT1_265530		nucleus - non-chromatin
TGGT1_265830		ER
TGGT1_265870		nucleus - non-chromatin
TGGT1_266060	RPSA	cytosol
TGGT1_266070	RPL31	60S ribosome
TGGT1_266140		PM - integral
TGGT1_266460		nucleus - non-chromatin
TGGT1_266640		cytosol
TGGT1_266960		tubulin cytoskeleton
TGGT1_267050		cytosol
TGGT1_267060	RPL14	60S ribosome
TGGT1_267080		19S proteasome
TGGT1_267100		cytosol
TGGT1_267390	POLR1C	nucleus - non-chromatin
TGGT1_267400	RPL32	60S ribosome
TGGT1_267420		nucleus - non-chromatin
TGGT1_267430		ER
TGGT1_267440		nucleus - chromatin
TGGT1_267550	LRR1	cytosol
TGGT1_267560		mitochondrion - soluble
TGGT1_267580		nucleus - chromatin
TGGT1_267600		cytosol
TGGT1_267620		IMC
TGGT1_267720		PM - integral
TGGT1_267800	DRPA	nucleus - chromatin
TGGT1_267840		ER
TGGT1_268200		nucleus - non-chromatin
TGGT1_268370		nucleus - chromatin
TGGT1_268570		nucleus - non-chromatin
TGGT1_268640		nucleolus
TGGT1_268650		mitochondrion - soluble
TGGT1_268730		mitochondrion - soluble
TGGT1_268810		cytosol
TGGT1_268850	ENO2	cytosol
TGGT1_268870		cytosol
TGGT1_269000		mitochondrion - membranes
TGGT1_269010	AP2VIII7	nucleus - chromatin
TGGT1_269180		nucleus - non-chromatin
TGGT1_269200		nucleus - non-chromatin
TGGT1_269250		19S proteasome
TGGT1_269442		IMC
TGGT1_269480		nucleus - chromatin
TGGT1_269770		nucleolus
TGGT1_269800		cytosol
TGGT1_269840		19S proteasome
TGGT1_269900		nucleus - non-chromatin
TGGT1_270120	TLP1	mitochondrion - soluble
TGGT1_270140	DIM1	cytosol
